country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Togo,237.0,229.0,218.0,253.0,246.0,251.0,205.0,178.0,177.0,142.0,121.0,94.9,77.8,71.2,66.0
Tonga,16.1,13.9,11.7,10.3,10.8,9.6,8.2,7.0,10.3,8.0,7.4,7.4,7.5,6.8,7.1
Trinidad and Tobago,,,1.3,1.1,0.9,0.9,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.6,0.8
Tunisia,11.9,11.1,10.1,9.3,8.3,7.9,5.7,5.0,4.2,4.1,4.7,4.2,3.9,4.7,4.6
Turkey,36.8,26.0,27.4,26.5,20.7,14.9,14.2,17.2,11.2,11.8,14.0,17.6,17.8,17.6,12.8
Uganda,123.0,111.0,99.2,96.0,92.0,101.0,84.4,94.4,84.5,76.7,78.3,64.4,39.7,37.1,33.6
Ukraine,29.9,21.3,13.4,11.5,9.8,6.8,6.8,7.1,5.2,2.2,1.9,1.8,1.1,0.9,0.8
United Arab Emirates,18.8,17.5,15.8,13.0,13.9,11.6,11.1,12.6,13.4,11.0,11.4,11.3,11.2,13.0,13.4
United Kingdom,1.0,0.9,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.3,0.3,0.1,0.1,0.0
United States,,,,,,,,,,,1.2,1.2,1.1,1.1,1.1
Uruguay,51.3,48.2,43.9,44.2,46.0,43.5,40.0,42.1,24.9,24.0,23.5,22.8,21.7,22.5,22.5
Uzbekistan,14.4,12.8,11.5,11.7,11.9,8.1,10.1,10.8,5.3,3.8,3.5,3.3,3.4,3.2,3.1
Vanuatu,66.9,81.8,83.5,78.0,69.9,69.7,53.5,48.2,47.1,47.2,46.2,46.2,44.2,44.3,44.4
Venezuela,43.9,37.9,28.8,25.4,10.0,26.8,24.0,30.2,26.1,27.7,35.6,49.9,88.7,136.0,352.0
Vietnam,31.9,30.6,27.6,24.3,20.0,16.8,13.3,12.1,10.7,8.8,7.7,5.3,4.9,4.6,6.5
Yemen,257.0,269.0,240.0,228.0,179.0,93.0,83.0,82.1,83.8,71.9,66.1,66.3,68.0,82.2,73.5
Zambia,33.2,31.7,30.3,29.9,30.5,28.6,28.4,27.9,26.9,27.0,32.6,33.7,34.3,34.7,34.2
Zimbabwe,371.0,315.0,224.0,180.0,676.0,597.0,354.0,198.0,157.0,127.0,129.0,120.0,118.0,122.0,110.0
